                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.85643,                0.53933,                 0.8741,                      1,                0.71372,                0.83846,                0.45425,                 1.9022,                  1.049,                 1.3268,              0.0007856,              0.0007856,              0.0007856
                     94,                0.80348,                0.55042,                0.86569,                0.99329,                0.71429,                0.83352,                0.48619,                 1.8219,                 1.0353,                 1.3132,              0.0007724,              0.0007724,              0.0007724
                     95,                0.76979,                0.47937,                0.86118,                0.84488,                0.77864,                0.79939,                0.45538,                 1.7297,                 1.1061,                  1.283,              0.0007592,              0.0007592,              0.0007592
                     96,                0.80159,                0.50232,                0.88067,                0.99006,                0.64286,                0.78591,                0.43725,                 1.6933,                 1.2505,                 1.2632,               0.000746,               0.000746,               0.000746
                     97,                0.84716,                0.49439,                0.87649,                0.98971,                0.64286,                0.77098,                0.42502,                 1.7317,                  1.258,                 1.2841,              0.0007328,              0.0007328,              0.0007328
                     98,                0.75834,                 0.4891,                0.86834,                0.91595,                0.77899,                0.80625,                0.40399,                 1.8411,                 1.2443,                   1.37,              0.0007196,              0.0007196,              0.0007196
                     99,                0.80538,                0.49516,                0.87987,                      1,                0.71259,                0.81633,                0.39952,                  1.923,                 1.1876,                 1.3843,              0.0007064,              0.0007064,              0.0007064
                    100,                0.77669,                0.47741,                 0.8692,                0.98023,                0.78571,                0.84377,                0.39932,                  1.933,                 1.0802,                 1.3914,              0.0006932,              0.0006932,              0.0006932
                    101,                0.72352,                0.49022,                 0.8619,                0.99094,                0.78571,                0.85923,                0.43662,                 1.8184,                 1.1544,                 1.3633,                0.00068,                0.00068,                0.00068
                    102,                0.76308,                0.47773,                0.87719,                      1,                0.76042,                0.84768,                0.41854,                 1.8289,                 1.1956,                 1.3699,              0.0006668,              0.0006668,              0.0006668
                    103,                0.75375,                0.47344,                0.87292,                      1,                0.71368,                0.81463,                0.41147,                 1.8014,                 1.2517,                 1.3454,              0.0006536,              0.0006536,              0.0006536
                    104,                0.73984,                0.47043,                0.85544,                0.98281,                0.71429,                0.83956,                0.47024,                 1.7049,                 1.2418,                 1.2972,              0.0006404,              0.0006404,              0.0006404
                    105,                0.75257,                0.47682,                0.87804,                      1,                0.70682,                0.83303,                0.45325,                 1.7261,                 1.2494,                 1.2915,              0.0006272,              0.0006272,              0.0006272
                    106,                0.74962,                0.46531,                0.86513,                      1,                0.71086,                0.80911,                 0.4504,                 1.6792,                 1.2222,                 1.2803,               0.000614,               0.000614,               0.000614
                    107,                0.74331,                0.46155,                0.84159,                      1,                0.76439,                0.81135,                0.46387,                 1.7014,                 1.2107,                 1.2979,              0.0006008,              0.0006008,              0.0006008
                    108,                 0.7393,                0.47313,                0.87356,                0.99049,                0.78571,                0.85801,                0.47107,                 1.6979,                 1.1058,                 1.3221,              0.0005876,              0.0005876,              0.0005876
                    109,                0.73799,                0.45766,                0.87455,                0.99647,                0.78571,                0.90076,                 0.4785,                 1.7227,                 1.1691,                 1.3219,              0.0005744,              0.0005744,              0.0005744
                    110,                0.66566,                0.43172,                0.85282,                0.98718,                0.78571,                0.91295,                0.47961,                 1.7248,                 1.0248,                 1.3212,              0.0005612,              0.0005612,              0.0005612
                    111,                0.71926,                0.46186,                0.84248,                0.99339,                0.78571,                0.90731,                0.47941,                  1.716,                0.94036,                 1.3083,               0.000548,               0.000548,               0.000548
                    112,                0.75759,                0.50292,                0.87433,                0.99256,                0.78571,                0.90492,                 0.4797,                 1.7195,                0.95671,                 1.2885,              0.0005348,              0.0005348,              0.0005348
                    113,                0.76003,                0.44681,                0.86785,                0.98749,                0.78571,                0.89185,                0.48657,                 1.6773,                0.96552,                 1.2561,              0.0005216,              0.0005216,              0.0005216
